Rank,Title,Year,Rating,URL
40,Mamma Mia! Here We Go Again,2018,NA,https://www.imdb.com/title/tt6911608/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_40
41,Get Out,2017,7.7,https://www.imdb.com/title/tt5052448/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_41
42,Beauty and the Beast,2017,7.3,https://www.imdb.com/title/tt2771200/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_42
43,Black Panther,2018,NA,https://www.imdb.com/title/tt1825683/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_43
44,Elf,2003,6.9,https://www.imdb.com/title/tt0319343/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_44
45,The Mountain Between Us,2017,6.4,https://www.imdb.com/title/tt2226597/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_45
46,Jumanji,1995,6.9,https://www.imdb.com/title/tt0113497/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_46
47,Murder on the Orient Express,2017,6.8,https://www.imdb.com/title/tt3402236/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_47
48,Die Hard,1988,8.2,https://www.imdb.com/title/tt0095016/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_48
49,Phantom Thread,2017,8.8,https://www.imdb.com/title/tt5776858/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_49
